title,link,standardized_date,source,target,relation
NASA Selects Orbital Reef To Develop Space Station Replacement,https://www.blueorigin.com//news/nasa-selects-orbital-reef-for-space-station-replacement,2021-12-02,Blue Origin,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
NASA Selects Orbital Reef To Develop Space Station Replacement,https://www.blueorigin.com//news/nasa-selects-orbital-reef-for-space-station-replacement,2021-12-02,Sierra Space,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
NASA Selects Orbital Reef To Develop Space Station Replacement,https://www.blueorigin.com//news/nasa-selects-orbital-reef-for-space-station-replacement,2021-12-02,Boeing,Blue Origin,Strategic Alliances
NASA Selects Orbital Reef To Develop Space Station Replacement,https://www.blueorigin.com//news/nasa-selects-orbital-reef-for-space-station-replacement,2021-12-02,Boeing,Sierra Space,Strategic Alliances
NASA Selects Orbital Reef To Develop Space Station Replacement,https://www.blueorigin.com//news/nasa-selects-orbital-reef-for-space-station-replacement,2021-12-02,Redwire,Blue Origin,Strategic Alliances
NASA Selects Orbital Reef To Develop Space Station Replacement,https://www.blueorigin.com//news/nasa-selects-orbital-reef-for-space-station-replacement,2021-12-02,Redwire,Sierra Space,Strategic Alliances
Blue Origin and Sierra Space developing commercial space station,https://www.blueorigin.com//news/orbital-reef-commercial-space-station,2021-10-25,Sierra Space,Blue Origin,Strategic Alliances
Blue Origin announces next customers to fly on New Shepard’s upcoming human flight on October 12,https://www.blueorigin.com//news/next-human-flight-on-october-12,2021-09-27,Blue Origin,Dassault Systèmes,Supplier-Customer Relationships
New Shepard Mission NS-17 Launch Updates,https://www.blueorigin.com//news/new-shepard-mission-ns-17-launch-updates,2021-08-26,National Aeronautics and Space Administration (NASA),Blue Origin,Strategic Alliances
New Shepard Mission NS-17 Launch Updates,https://www.blueorigin.com//news/new-shepard-mission-ns-17-launch-updates,2021-08-26,National Aeronautics and Space Administration (NASA),Southwest Research Institute,Research and Development Collaborations
Open Letter to Administrator Nelson,https://www.blueorigin.com//news/open-letter-to-administrator-nelson,2021-07-26,Blue Origin,SpaceX,Competitive Dynamics
Open Letter to Administrator Nelson,https://www.blueorigin.com//news/open-letter-to-administrator-nelson,2021-07-26,Blue Origin,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
NASA Selects Blue Origin’s New Glenn Rocket for Launch Services Catalog,https://www.blueorigin.com//news/nasa-selects-new-glenn-for-launch-services-catalog,2020-12-16,National Aeronautics and Space Administration (NASA),Blue Origin,Supplier-Customer Relationships
New Shepard Mission NS-13 Launch Updates,https://www.blueorigin.com//news/new-shepard-mission-ns-13-launch-updates,2020-09-22,Blue Origin,National Aeronautics and Space Administration (NASA),Strategic Alliances
New Shepard Mission NS-13 Launch Updates,https://www.blueorigin.com//news/new-shepard-mission-ns-13-launch-updates,2020-09-22,Space Lab Technologies,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
National Team Completes System Requirements Review to Define its  Integrated Human Landing System Design,https://www.blueorigin.com//news/national-team-completes-system-requirements-review,2020-09-14,Blue Origin,Lockheed Martin,Joint Product Development
National Team Completes System Requirements Review to Define its  Integrated Human Landing System Design,https://www.blueorigin.com//news/national-team-completes-system-requirements-review,2020-09-14,Blue Origin,Northrop Grumman,Joint Product Development
National Team Completes System Requirements Review to Define its  Integrated Human Landing System Design,https://www.blueorigin.com//news/national-team-completes-system-requirements-review,2020-09-14,Blue Origin,Draper,Joint Product Development
National Team Completes System Requirements Review to Define its  Integrated Human Landing System Design,https://www.blueorigin.com//news/national-team-completes-system-requirements-review,2020-09-14,Lockheed Martin,Northrop Grumman,Joint Product Development
National Team Completes System Requirements Review to Define its  Integrated Human Landing System Design,https://www.blueorigin.com//news/national-team-completes-system-requirements-review,2020-09-14,Lockheed Martin,Draper,Joint Product Development
National Team Completes System Requirements Review to Define its  Integrated Human Landing System Design,https://www.blueorigin.com//news/national-team-completes-system-requirements-review,2020-09-14,Northrop Grumman,Draper,Joint Product Development
BE-4 Engine Will Support U.S. Space Force's National Security Space Launch Program,https://www.blueorigin.com//news/be4-to-support-national-security-space-launch-program,2020-08-07,Blue Origin,United Launch Alliance,Supplier-Customer Relationships
NASA Selects Blue Origin National Team to Return Humans to the Moon,https://www.blueorigin.com//news/nasa-selects-blue-origin-national-team-to-return-humans-to-the-moon,2020-04-30,Blue Origin,Lockheed Martin,Joint Ventures
NASA Selects Blue Origin National Team to Return Humans to the Moon,https://www.blueorigin.com//news/nasa-selects-blue-origin-national-team-to-return-humans-to-the-moon,2020-04-30,Blue Origin,Northrop Grumman,Joint Ventures
NASA Selects Blue Origin National Team to Return Humans to the Moon,https://www.blueorigin.com//news/nasa-selects-blue-origin-national-team-to-return-humans-to-the-moon,2020-04-30,Blue Origin,Draper,Joint Ventures
NASA Selects Blue Origin National Team to Return Humans to the Moon,https://www.blueorigin.com//news/nasa-selects-blue-origin-national-team-to-return-humans-to-the-moon,2020-04-30,Lockheed Martin,Northrop Grumman,Joint Ventures
NASA Selects Blue Origin National Team to Return Humans to the Moon,https://www.blueorigin.com//news/nasa-selects-blue-origin-national-team-to-return-humans-to-the-moon,2020-04-30,Lockheed Martin,Draper,Joint Ventures
NASA Selects Blue Origin National Team to Return Humans to the Moon,https://www.blueorigin.com//news/nasa-selects-blue-origin-national-team-to-return-humans-to-the-moon,2020-04-30,Northrop Grumman,Draper,Joint Ventures
Blue Origin Chosen for NASA Commercial Lunar Payload Services (CLPS) Initiative,https://www.blueorigin.com//news/new-companies-join-growing-ranks-of-nasa-partners-for-artemis-program,2019-11-18,Blue Origin,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Blue Origin Chosen for NASA Commercial Lunar Payload Services (CLPS) Initiative,https://www.blueorigin.com//news/new-companies-join-growing-ranks-of-nasa-partners-for-artemis-program,2019-11-18,Ceres Robotics,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Blue Origin Chosen for NASA Commercial Lunar Payload Services (CLPS) Initiative,https://www.blueorigin.com//news/new-companies-join-growing-ranks-of-nasa-partners-for-artemis-program,2019-11-18,Sierra Nevada Corporation,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Blue Origin Chosen for NASA Commercial Lunar Payload Services (CLPS) Initiative,https://www.blueorigin.com//news/new-companies-join-growing-ranks-of-nasa-partners-for-artemis-program,2019-11-18,SpaceX,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Blue Origin Chosen for NASA Commercial Lunar Payload Services (CLPS) Initiative,https://www.blueorigin.com//news/new-companies-join-growing-ranks-of-nasa-partners-for-artemis-program,2019-11-18,Tyvak,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Blue Origin Announces National Team for NASA’s Artemis Human Landing System,https://www.blueorigin.com//news/blue-origin-announces-national-team-for-nasas-human-landing-system-artemis,2019-10-22,Blue Origin,Lockheed Martin,Joint Ventures
Blue Origin to Launch Telesat’s Advanced Global LEO Satellite Constellation,https://www.blueorigin.com//news/blue-origin-to-launch-telesats-advanced-global-leo-satellite-constellation,2019-01-31,Blue Origin,Telesat,Supplier-Customer Relationships
Blue Origin Breaks Ground on Huntsville Engine Production Facility,https://www.blueorigin.com//news/blue-origin-breaks-ground-on-huntsville-engine-production-facility,2019-01-25,Blue Origin,United Launch Alliance,Supplier-Customer Relationships
Blue Origin Breaks Ground on Huntsville Engine Production Facility,https://www.blueorigin.com//news/blue-origin-breaks-ground-on-huntsville-engine-production-facility,2019-01-25,Blue Origin,U.S. Air Force,Contract Teaming
Air Force Selects Blue Origin for Launch Services Agreement,https://www.blueorigin.com//news/air-force-selects-blue-origin-for-launch-services-agreement,2018-10-10,Blue Origin,U.S. Air Force,Supplier-Customer Relationships
“Let’s go to the Moon” is key focus at IAC 2018,https://www.blueorigin.com//news/let-s-go-to-the-moon-is-key-focus-at-iac-2018,2018-10-02,Blue Origin,OHB Italia S.p.A.,Joint Ventures
“Let’s go to the Moon” is key focus at IAC 2018,https://www.blueorigin.com//news/let-s-go-to-the-moon-is-key-focus-at-iac-2018,2018-10-02,Blue Origin,MT Aerospace,Joint Ventures
Blue Origin’s BE-4 Engine Selected by ULA to Power Vulcan,https://www.blueorigin.com//news/blue-origin-s-be-4-engine-selected-by-ula-to-power-vulcan,2018-09-27,Blue Origin,United Launch Alliance,Supplier-Customer Relationships
Blue Origin Completes More Than 100 Staged-Combustion Tests in Development of BE-4 Engine,https://www.blueorigin.com//news/blue-origin-completes-more-than-100-staged-combustion-tests-in-development-of-be-4-engine,2015-09-30,Blue Origin,United Launch Alliance,Supplier-Customer Relationships
Coming to the Space Coast,https://www.blueorigin.com//news/coming-to-the-space-coast,2015-09-15,Blue Origin,United Launch Alliance,Supplier-Customer Relationships
ULA and Blue Origin Announce Production Agreement for American-Made BE-4 Engine,https://www.blueorigin.com//news/ula-and-blue-origin-announce-production-agreement-for-american-made-be-4-engine,2015-09-10,United Launch Alliance,Blue Origin,Joint Product Development
Blue Origin Completes Acceptance Testing of BE-3 Engine for New Shepard Suborbital Flight,https://www.blueorigin.com//news/blue-origin-completes-acceptance-testing-of-be-3-engine-for-new-shepard-suborbital-flight,2015-04-07,United Launch Alliance,Blue Origin,Supplier-Customer Relationships
ULA and Blue Origin Announce Partnership To Develop New American Rocket Engine,https://www.blueorigin.com//news/ula-and-blue-origin-announce-partnership-to-develop-new-american-rocket-engine,2014-09-17,United Launch Alliance,Blue Origin,Joint Product Development
Blue Origin Debuts the American-made BE-3 Liquid Hydrogen Rocket Engine,https://www.blueorigin.com//news/blue-origin-debuts-the-american-made-be-3-liquid-hydrogen-rocket-engine,2013-12-03,Blue Origin,National Aeronautics and Space Administration (NASA),Research and Development Collaborations
Blue Origin to Complete More Milestones for Spacecraft Development,https://www.blueorigin.com//news/blue-origin-to-complete-more-milestones-for-spacecraft-development,2013-02-27,National Aeronautics and Space Administration (NASA),Blue Origin,Research and Development Collaborations
Blue Origin Conducts Successful Pad Escape Test,https://www.blueorigin.com//news/blue-origin-conducts-successful-pad-escape-test,2012-10-22,Blue Origin,National Aeronautics and Space Administration (NASA),Regulatory Relationship
NASA Commercial Crew Partner Blue Origin Completes Rocket Engine Thrust Chamber Test,https://www.blueorigin.com//news/nasa-commercial-crew-partner-blue-origin-completes-rocket-engine-thrust-chamber-test,2012-10-15,National Aeronautics and Space Administration (NASA),Blue Origin,Research and Development Collaborations
Blue Origin Completes System Requirements Review for Innovative Space Vehicle,https://www.blueorigin.com//news/blue-origin-completes-system-requirements-review-for-innovative-space-vehicle,2012-05-31,Blue Origin,National Aeronautics and Space Administration (NASA),Research and Development Collaborations
Blue Origin Tests Design of Next-Generation Spacecraft,https://www.blueorigin.com//news/blue-origin-tests-design-of-next-generation-spacecraft,2012-04-26,Blue Origin,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
NASA Administrator Charles Bolden looks at Blue Origin’s BE-3 engine on a test stand,https://www.blueorigin.com//news/nasa-administrator-charles-bolden-looks-at-blue-origin-s-be-3-engine-on-a-test-stand,2012-04-20,Blue Origin,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
NASA Deputy Administrator Garver Tours Blue Origin,https://www.blueorigin.com//news/nasa-deputy-administrator-garver-tours-blue-origin,2011-12-08,National Aeronautics and Space Administration (NASA),Blue Origin,Supplier-Customer Relationships
Spire Global Announces Strong Second Quarter 2023 Results; Expects Positive Cash Flow from Operations by Year End,https://spire.com/press-release/spire-global-announces-strong-second-quarter-2023-results-expects-positive-cash-flow-from-operations-by-year-end/,2023-08-09,Spire,OroraTech,Joint Product Development
Spire Global Announces Strong Second Quarter 2023 Results; Expects Positive Cash Flow from Operations by Year End,https://spire.com/press-release/spire-global-announces-strong-second-quarter-2023-results-expects-positive-cash-flow-from-operations-by-year-end/,2023-08-09,Spire,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Spire Global Announces Strong Second Quarter 2023 Results; Expects Positive Cash Flow from Operations by Year End,https://spire.com/press-release/spire-global-announces-strong-second-quarter-2023-results-expects-positive-cash-flow-from-operations-by-year-end/,2023-08-09,Spire,exactEarth,Mergers and Acquisitions
Spire Launches Industry-leading Technology to Enable Optical Inter-Satellite Links and Significantly Reduce Data Latency,https://spire.com/press-release/spire-launches-industry-leading-technology-to-enable-optical-inter-satellite-links-and-significantly-reduce-data-latency/,2023-06-13,Spire,UK Space Agency (UKSA),Supplier-Customer Relationships
"Spire Global and BlackSky Partner to Provide Real-Time, AI-Driven Maritime Custody Service",https://spire.com/press-release/spire-global-and-blacksky-partner-to-provide-real-time-ai-driven-maritime-custody-service/,2023-05-24,Spire,MCS,Supplier-Customer Relationships
Spire Global to Provide TrueOcean with Global Maritime Weather Forecast to Aid in Offshore Wind Farm Development,https://spire.com/press-release/spire-global-to-provide-trueocean-with-global-maritime-weather-forecast-to-aid-in-offshore-wind-farm-development/,2023-05-16,Spire,TrueOcean,Supplier-Customer Relationships
Spire Global Announces Strong First Quarter 2023 Results,https://spire.com/press-release/spire-global-announces-strong-first-quarter-2023-results/,2023-05-10,Spire,exactEarth,Mergers and Acquisitions
Spire Global Launches a Space-Powered Weather Insights Platform for the Maritime Industry,https://spire.com/press-release/spire-global-launches-a-space-powered-weather-insights-platform-for-the-maritime-industry/,2023-05-02,Spire,Theyr,Strategic Alliances
Three Spire Global Satellites Successfully Launch on SpaceX Transporter-7 Mission,https://spire.com/press-release/three-spire-global-satellites-successfully-launch-on-spacex-transporter-7-mission/,2023-04-17,Spire,Austrian Space Forum (OeWF),Joint Product Development
Three Spire Global Satellites Successfully Launch on SpaceX Transporter-7 Mission,https://spire.com/press-release/three-spire-global-satellites-successfully-launch-on-spacex-transporter-7-mission/,2023-04-17,Spire,Exolaunch,Supplier-Customer Relationships
Three Spire Global Satellites Successfully Launch on SpaceX Transporter-7 Mission,https://spire.com/press-release/three-spire-global-satellites-successfully-launch-on-spacex-transporter-7-mission/,2023-04-17,Exolaunch,SpaceX,Supplier-Customer Relationships
Spire Global to Launch Six Satellites on SpaceX Transporter-6 Mission,https://spire.com/press-release/spire-global-to-launch-six-satellites-on-spacex-transporter-6-mission/,2022-12-14,Spire,Myriota,Supplier-Customer Relationships
Spire Global to Launch Six Satellites on SpaceX Transporter-6 Mission,https://spire.com/press-release/spire-global-to-launch-six-satellites-on-spacex-transporter-6-mission/,2022-12-14,Spire,European Space Agency (ESA),Research and Development Collaborations
Spire Global to Launch Six Satellites on SpaceX Transporter-6 Mission,https://spire.com/press-release/spire-global-to-launch-six-satellites-on-spacex-transporter-6-mission/,2022-12-14,Spire,Exolaunch,Supplier-Customer Relationships
Spire Global to Launch Six Satellites on SpaceX Transporter-6 Mission,https://spire.com/press-release/spire-global-to-launch-six-satellites-on-spacex-transporter-6-mission/,2022-12-14,Exolaunch,SpaceX,Supplier-Customer Relationships
Spire Global Unveils Next-Generation 16U Satellite Bus,https://spire.com/press-release/spire-global-unveils-next-generation-16u-satellite-bus/,2022-11-15,Exolaunch,Spire,Joint Product Development
Spire Global Announces Third Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-third-quarter-2022-results/,2022-11-09,Spire,NOAA,Supplier-Customer Relationships
Spire Global Announces Third Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-third-quarter-2022-results/,2022-11-09,Spire,National Reconnaissance Office (NRO),Supplier-Customer Relationships
Spire Global Announces Third Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-third-quarter-2022-results/,2022-11-09,Spire,RAL Space,Strategic Alliances
Spire Global Announces Third Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-third-quarter-2022-results/,2022-11-09,Spire,exactEarth,Mergers and Acquisitions
Spire Global Announces Space Services Agreement with GHGSat to Launch Satellites for Greenhouse Gas Emissions Monitoring,https://spire.com/press-release/spire-global-announces-space-services-agreement-with-ghgsat-to-launch-satellites-for-greenhouse-gas-emissions-monitoring/,2022-09-15,Spire,GHGSat,Supplier-Customer Relationships
Ursa Space and Spire Global Formalize Partnership Detecting Illicit Maritime Activity,https://spire.com/press-release/ursa-space-and-spire-global-formalize-partnership-detecting-illicit-maritime-activity/,2022-08-16,Spire,Ursa,Joint Product Development
Spire Global Announces Second Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-second-quarter-2022-results/,2022-08-10,Spire,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
Spire Global Announces Second Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-second-quarter-2022-results/,2022-08-10,Spire,RAL Space,Joint Product Development
Spire Global Announces Second Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-second-quarter-2022-results/,2022-08-10,Spire,exactEarth,Mergers and Acquisitions
Spire Global Announces Space Services Deal to Scale Constellation for HANCOM inSPACE with Second Satellite,https://spire.com/press-release/spire-global-announces-space-services-deal-to-scale-constellation-for-hancom-inspace-with-second-satellite/,2022-08-04,Spire,HANCOM inSPACE,Supplier-Customer Relationships
Spire Global Unveils Plan to Augment its Weather Data and Forecasting with Microwave Sounders,https://spire.com/press-release/spire-global-unveils-plan-to-augment-its-weather-data-and-forecasting-with-microwave-sounders/,2022-07-20,Spire,RAL Space,Joint Product Development
Spire Global to Launch Five Satellites on SpaceX Transporter-5 Mission,https://spire.com/press-release/spire-global-to-launch-five-satellites-on-spacex-transporter-5-mission/,2022-05-18,Spire,Myriota,Joint Product Development
Spire Global to Launch Five Satellites on SpaceX Transporter-5 Mission,https://spire.com/press-release/spire-global-to-launch-five-satellites-on-spacex-transporter-5-mission/,2022-05-18,Spire,Exolaunch,Supplier-Customer Relationships
Spire Global to Launch Five Satellites on SpaceX Transporter-5 Mission,https://spire.com/press-release/spire-global-to-launch-five-satellites-on-spacex-transporter-5-mission/,2022-05-18,Exolaunch,SpaceX,Supplier-Customer Relationships
Spire Global Announces First Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-first-quarter-2022-results/,2022-05-11,Spire,NorthStar,Supplier-Customer Relationships
Spire Global Announces First Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-first-quarter-2022-results/,2022-05-11,Spire,Slingshot Aerospace,Strategic Alliances
Spire Global Announces First Quarter 2022 Results,https://spire.com/press-release/spire-global-announces-first-quarter-2022-results/,2022-05-11,Spire,exactEarth,Mergers and Acquisitions
Identifying Radio Frequency (RF) and GPS Interferences for Military Applications with Satellite Data from Spire Global,https://spire.com/press-release/identifying-radio-frequency-rf-and-gps-interferences-for-military-applications-with-satellite-data-from-spire-global/,2022-03-24,Spire,Slingshot Aerospace,Supplier-Customer Relationships
Spire Global Announces Preliminary Fourth Quarter and Full Year Fiscal 2021 Results; Provides First Quarter and Full Year 2022 Guidance,https://spire.com/press-release/spire-global-announces-preliminary-fourth-quarter-and-full-year-fiscal-2021-results-provides-first-quarter-and-full-year-2022-guidance/,2022-03-09,Spire,exactEarth,Mergers and Acquisitions
Spire Global Announces Preliminary Fourth Quarter and Full Year Fiscal 2021 Results; Provides First Quarter and Full Year 2022 Guidance,https://spire.com/press-release/spire-global-announces-preliminary-fourth-quarter-and-full-year-fiscal-2021-results-provides-first-quarter-and-full-year-2022-guidance/,2022-03-09,Spire,Southern Launch,Supplier-Customer Relationships
Spire and Dragonfly Aerospace Announce Partnership to Support Australian Office of National Intelligence,https://spire.com/press-release/spire-and-dragonfly-aerospace-announce-partnership-to-support-australian-office-of-national-intelligence/,2022-01-21,Spire,Dragonfly Aerospace,Strategic Alliances
Spire and Dragonfly Aerospace Announce Partnership to Support Australian Office of National Intelligence,https://spire.com/press-release/spire-and-dragonfly-aerospace-announce-partnership-to-support-australian-office-of-national-intelligence/,2022-01-21,Spire,SpaceX,Supplier-Customer Relationships
"Spire Global, Inc. Deploys and Operates U.S.-Made Battery in Orbit for U.S. Space Force SBIR program",https://spire.com/press-release/spire-global-inc-deploys-and-operates-u-s-made-battery-in-orbit-for-u-s-space-force-sbir-program/,2021-12-16,Spire,EnerSys,Supplier-Customer Relationships
"Spire Global, Inc. Completes Acquisition of exactEarth Ltd.",https://spire.com/press-release/spire-global-inc-completes-acquisition-of-exactearth-ltd/,2021-11-30,Spire,exactEarth,Mergers and Acquisitions
Spire Global Announces Third Quarter 2021 Results,https://spire.com/press-release/spire-global-announces-third-quarter-2021-results/,2021-11-10,Spire,exactEarth,Mergers and Acquisitions
"Spire Global Announces New Weather Customer, Southern Launch",https://spire.com/press-release/spire-global-announces-new-weather-customer-southern-launch/,2021-10-18,Spire,Southern Launch,Supplier-Customer Relationships
Spire Global to Acquire exactEarth,https://spire.com/press-release/spire-global-to-acquire-exactearth/,2021-09-14,Spire,exactEarth,Mergers and Acquisitions
Spire Global Partners with Hancom Group in First Commercial Satellite Mission for South Korea,https://spire.com/press-release/spire-global-partners-with-hancom-group-in-first-commercial-satellite-mission-for-south-korea/,2021-08-13,Spire,Hancom Group,Strategic Alliances
Neil Jacobs Joins Spire Global as Scientific Advisor,https://spire.com/press-release/neil-jacobs-joins-spire-global-as-scientific-advisor/,2021-08-06,Spire,Jacobs,Supplier-Customer Relationships
Spire Global Chosen to Provide Radio Occultation Satellite Data to The European Organization for the Exploitation of Meteorological Satellites,https://spire.com/press-release/spire-global-chosen-to-provide-radio-occultation-satellite-data-to-the-european-organization-for-the-exploitation-of-meteorological-satellites/,2021-08-05,Spire,EUMETSAT,Supplier-Customer Relationships
Spire Awarded Contract for Earth Observation Data,https://spire.com/press-release/spire-awarded-contract-for-earth-observation-data/,2021-07-14,Spire,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
TAC Index and Spire Aviation announce strategic data partnership,https://spire.com/press-release/tac-index-and-spire-aviation-announce-strategic-data-partnership/,2021-05-26,Spire,TAC Index,Strategic Alliances
TruWeather Solutions and Spire Announce a Commercial Relationship to Enhance TruFlite V360° Precision and Accuracy Across the Globe,https://spire.com/press-release/truweather-solutions-and-spire-announce-a-commercial-relationship/,2021-04-30,TruWeather Solutions,Spire,Strategic Alliances
Findus Venture and Spire Global sign second partnership agreement,https://spire.com/press-release/findus-venture-and-spire-global-sign-second-partnership-agreement/,2021-04-22,Spire,Austrian Space Forum (OeWF),Supplier-Customer Relationships
Orbitare selects Spire’s Orbital Service to launch their innovative IP communications service,https://spire.com/press-release/orbitare-selects-spires-orbital-service-to-launch-their-innovative-ip-communications-service/,2021-02-01,Orbitare,Spire,Joint Product Development
ZeroNorth and Spire Maritime partner to reduce emissions in shipping,https://spire.com/press-release/zeronorth-and-spire-maritime-partner-to-provide-easy-access-to-market-leading-ais-and-weather-data/,2021-01-26,ZeroNorth,Spire,Strategic Alliances
Spire Global announces new funding to drive Weather offering,https://spire.com/press-release/spire-global-announces-new-funding-to-drive-weather-offering/,2019-09-25,Spire,ITOCHU,Investment and Financial Partnerships
Spire Global announces new funding to drive Weather offering,https://spire.com/press-release/spire-global-announces-new-funding-to-drive-weather-offering/,2019-09-25,Spire,Mitsui,Investment and Financial Partnerships
Spire Global announces new funding to drive Weather offering,https://spire.com/press-release/spire-global-announces-new-funding-to-drive-weather-offering/,2019-09-25,Spire,Scottish Investment Bank,Investment and Financial Partnerships
Rocket Lab Signs Deal with Leidos to Launch Four HASTE Missions,https://www.rocketlabusa.com/updates/rocket-lab-signs-deal-with-leidos-to-launch-four-haste-missions/,2023-09-13,Rocket Lab,Leidos,Supplier-Customer Relationships
Rocket Lab Announces Launch Window for Next Capella Space Mission,https://www.rocketlabusa.com/updates/rocket-lab-announces-launch-window-for-next-capella-space-mission/,2023-09-07,Rocket Lab,Capella Space,Supplier-Customer Relationships
"Rocket Lab Launches 40th Electron Mission, Successfully Flies Reused Engine",https://www.rocketlabusa.com/updates/rocket-lab-launches-40th-electron-mission-successfully-flies-reused-engine/,2023-08-24,Rocket Lab,Capella Space,Supplier-Customer Relationships
Rocket Lab to Launch Climate Change Research Mission Focused on Arctic Ice Caps for NASA,https://www.rocketlabusa.com/updates/rocket-lab-to-launch-climate-change-research-mission-focused-on-arctic-ice-caps-for-nasa/,2023-08-14,Rocket Lab,National Aeronautics and Space Administration (NASA),Supplier-Customer Relationships
BlackSky Signs New Block Buy for Five Rocket Lab Launches,https://www.rocketlabusa.com/updates/blacksky-signs-new-block-buy-for-five-rocket-lab-launches/,2023-08-09,Rocket Lab,BlackSky,Supplier-Customer Relationships
BlackSky Signs New Block Buy for Five Rocket Lab Launches,https://www.rocketlabusa.com/updates/blacksky-signs-new-block-buy-for-five-rocket-lab-launches/,2023-08-09,Rocket Lab,Capella Space,Supplier-Customer Relationships
BlackSky Signs New Block Buy for Five Rocket Lab Launches,https://www.rocketlabusa.com/updates/blacksky-signs-new-block-buy-for-five-rocket-lab-launches/,2023-08-09,Rocket Lab,Kinéis,Supplier-Customer Relationships
BlackSky Signs New Block Buy for Five Rocket Lab Launches,https://www.rocketlabusa.com/updates/blacksky-signs-new-block-buy-for-five-rocket-lab-launches/,2023-08-09,Rocket Lab,Hawkeye 360,Supplier-Customer Relationships
BlackSky Signs New Block Buy for Five Rocket Lab Launches,https://www.rocketlabusa.com/updates/blacksky-signs-new-block-buy-for-five-rocket-lab-launches/,2023-08-09,Rocket Lab,Synspective,Supplier-Customer Relationships
Rocket Lab Inks New Deal to Launch HASTE Mission from Virginia,https://www.rocketlabusa.com/updates/rocket-lab-inks-new-deal-to-launch-haste-mission-from-virginia/,2023-08-09,Rocket Lab,Leidos,Supplier-Customer Relationships
Rocket Lab Announces Launch Window for Next Mission in Multi-Launch Contract for Capella Space,https://www.rocketlabusa.com/updates/rocket-lab-announces-launch-window-for-next-mission-in-multi-launch-contract-for-capella-space/,2023-07-23,Rocket Lab,Capella Space,Supplier-Customer Relationships
"Rocket Lab Deploys Satellites for NASA and Commercial Constellation Operators,  Successfully Recovers Booster",https://www.rocketlabusa.com/updates/rocket-lab-deploys-satellites-for-nasa-and-commercial-constellation-operators-successfully-recovers-booster/,2023-07-18,Rocket Lab,Space Flight Laboratory (SFL),Supplier-Customer Relationships
"Rocket Lab Deploys Satellites for NASA and Commercial Constellation Operators,  Successfully Recovers Booster",https://www.rocketlabusa.com/updates/rocket-lab-deploys-satellites-for-nasa-and-commercial-constellation-operators-successfully-recovers-booster/,2023-07-18,Rocket Lab,Telesat,Supplier-Customer Relationships
"Rocket Lab Deploys Satellites for NASA and Commercial Constellation Operators,  Successfully Recovers Booster",https://www.rocketlabusa.com/updates/rocket-lab-deploys-satellites-for-nasa-and-commercial-constellation-operators-successfully-recovers-booster/,2023-07-18,Rocket Lab,Spire,Supplier-Customer Relationships
"Rocket Lab Prepares to Launch Mix of NASA and Commercial Satellites, and Takes Next Step in Rocket Reusability Program",https://www.rocketlabusa.com/updates/rocket-lab-prepares-mix-of-nasa-and-commercial-satellites-and-takes-next-step-in-rocket-reusability-program-new-blog-post/,2023-07-16,Space Flight Laboratory (SFL),Rocket Lab,Supplier-Customer Relationships
"Rocket Lab Prepares to Launch Mix of NASA and Commercial Satellites, and Takes Next Step in Rocket Reusability Program",https://www.rocketlabusa.com/updates/rocket-lab-prepares-mix-of-nasa-and-commercial-satellites-and-takes-next-step-in-rocket-reusability-program-new-blog-post/,2023-07-16,Space Flight Laboratory (SFL),Telesat,Supplier-Customer Relationships
"Rocket Lab Prepares to Launch Mix of NASA and Commercial Satellites, and Takes Next Step in Rocket Reusability Program",https://www.rocketlabusa.com/updates/rocket-lab-prepares-mix-of-nasa-and-commercial-satellites-and-takes-next-step-in-rocket-reusability-program-new-blog-post/,2023-07-16,Rocket Lab,Telesat,Supplier-Customer Relationships
Rocket Lab Signs Multi-Launch Deal to Further Deploy Synspective Constellation,https://www.rocketlabusa.com/updates/rocket-lab-signs-multi-launch-deal-to-further-deploy-synspective-constellation/,2023-07-13,Rocket Lab,Synspective,Supplier-Customer Relationships
